Symbol,Name,Last Price
DIDI,DiDi Global Inc.,2.5576
BABA,Alibaba Group Holding Limited,93.87
SBUX,Starbucks Corporation,89.79
NVDA,NVIDIA Corporation,244.45
NIO,NIO Inc.,17.86
SONM,"Sonim Technologies, Inc.",0.9553
JD,"JD.com, Inc.",59.44
XPEV,XPeng Inc.,26.95
SONN,"Sonnet BioTherapeutics Holdings, Inc.",0.4780
PDD,Pinduoduo Inc.,39.81
LI,Li Auto Inc.,25.17
BEKE,KE Holdings Inc.,15.02
BILI,Bilibili Inc.,26.06
RLX,RLX Technology Inc.,2.1781
FUTU,Futu Holdings Limited,33.07
TTCF,"Tattooed Chef, Inc.",11.58
MU,"Micron Technology, Inc.",79.19
SE,Sea Limited,110.54
KWEB,KraneShares CSI China Internet ETF,28.72
BIDU,"Baidu, Inc.",133.90
TME,Tencent Music Entertainment Group,4.2850
JAGX,"Jaguar Health, Inc.",0.4548
CAN,Canaan Inc.,4.6050
CWEB,Direxion Daily CSI China Internet Bull 2X Shares,6.66
LIT,Global X Lithium & Battery Tech ETF,72.30
AKAN,Akanda Corp. Common Shares,13.36
EDU,New Oriental Education & Technology Group Inc.,1.1700
NLOK,NortonLifeLock Inc.,26.79
DUO,Fangdd Network Group Ltd.,0.4597
JBL,Jabil Inc.,60.81
